"project","class","avg_ccn","sum_string_args","sum_number_args"
"Geometry","org.apache.commons.geometry.euclidean.threed.BoundarySource3D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.BoundarySourceBoundsBuilder3D",4,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.BoundarySourceBoundsBuilder3DTest",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.BoundarySourceLinecaster3D",1.2,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.Bounds3D",2.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.Bounds3D$Builder",1.33333333333333,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.Bounds3DTest",1.4,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.ConvexPolygon3D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.ConvexVolume",1.16666666666667,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.ConvexVolumeTest",1,0,3
"Geometry","org.apache.commons.geometry.euclidean.threed.EmbeddedAreaPlaneConvexSubset",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.EmbeddedAreaPlaneConvexSubsetTest",2,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.EmbeddedTreePlaneSubset",1.375,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.EmbeddedTreePlaneSubsetTest",2,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.EmbeddingPlane",1.44444444444444,0,2
"Geometry","org.apache.commons.geometry.euclidean.threed.EmbeddingPlane$SubspaceTransform",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.EmbeddingPlaneTest",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.line.EmbeddedTreeLineSubset3D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.line.Line3D",1.22727272727273,0,6
"Geometry","org.apache.commons.geometry.euclidean.threed.line.Line3D$SubspaceTransform",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.line.Linecastable3D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.line.LinecastPoint3D",2.25,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.line.LineConvexSubset3D",1,0,1
"Geometry","org.apache.commons.geometry.euclidean.threed.line.LineConvexSubset3DTest",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.line.Lines3D",1.73333333333333,0,6
"Geometry","org.apache.commons.geometry.euclidean.threed.line.LineSpanningSubset3D",1,0,1
"Geometry","org.apache.commons.geometry.euclidean.threed.line.LineSubset3D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.line.Ray3D",1,0,2
"Geometry","org.apache.commons.geometry.euclidean.threed.line.ReverseRay3D",1,0,2
"Geometry","org.apache.commons.geometry.euclidean.threed.line.Segment3D",1,0,3
"Geometry","org.apache.commons.geometry.euclidean.threed.LinecastChecker3D",1.4,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.LinecastChecker3D$ExpectedResult",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.mesh.Mesh",1,0,1
"Geometry","org.apache.commons.geometry.euclidean.threed.mesh.SimpleTriangleMesh",1.33333333333333,0,1
"Geometry","org.apache.commons.geometry.euclidean.threed.mesh.SimpleTriangleMesh$Builder",1.53333333333333,0,7
"Geometry","org.apache.commons.geometry.euclidean.threed.mesh.SimpleTriangleMesh$FaceIterator",1,0,0
