file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/EmbeddingPlane.java,org.apache.commons.geometry.euclidean.threed.EmbeddingPlane,class,13,20,3,31,0,0.75,0.7583333,16,0,15,0,0,1,16,0,0,0,2,0,0,2,0,0,2,0,13,101,17,0,4,0,0,4,1,28,1,28,1,0,1,0,196,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/EmbeddingPlane.java,org.apache.commons.geometry.euclidean.threed.EmbeddingPlane$SubspaceTransform,innerclass,2,3,1,0,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,37,25,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/EmbeddedAreaPlaneConvexSubset.java,org.apache.commons.geometry.euclidean.threed.EmbeddedAreaPlaneConvexSubset,class,19,10,3,17,0,0.5833333,0.5833333,9,0,8,0,0,1,9,0,0,0,1,0,0,1,0,0,1,0,4,43,8,0,0,0,0,1,0,10,1,12,1,0,0,1,65,16,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/AbstractConvexPolygon3D.java,org.apache.commons.geometry.euclidean.threed.AbstractConvexPolygon3D,class,22,46,2,50,36,0.3181818,0.3181818,13,0,11,1,0,1,12,0,0,0,1,0,0,1,0,0,1,0,19,240,20,5,12,0,3,2,39,109,25,82,3,0,0,0,171,1024,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/Bounds3D.java,org.apache.commons.geometry.euclidean.threed.Bounds3D,class,6,27,2,21,66,0.0,0.0,12,3,11,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,13,125,14,0,1,0,1,0,0,28,0,28,1,0,1,0,104,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/Bounds3D.java,org.apache.commons.geometry.euclidean.threed.Bounds3D$Builder,innerclass,4,12,1,12,9,0.3,0.3,6,0,5,1,0,0,5,0,0,0,6,0,0,6,0,0,0,0,16,47,5,1,0,0,0,3,2,17,1,11,2,0,0,0,68,25,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/AffineTransformMatrix3D.java,org.apache.commons.geometry.euclidean.threed.AffineTransformMatrix3D,class,10,50,2,33,379,0.11827957,0.11827957,34,12,31,3,0,0,31,0,0,0,18,6,0,18,0,0,18,0,54,203,35,0,14,0,7,7,64,72,51,69,1,0,0,0,294,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/ConvexPolygon3D.java,org.apache.commons.geometry.euclidean.threed.ConvexPolygon3D,interface,4,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/Linecastable3D.java,org.apache.commons.geometry.euclidean.threed.line.Linecastable3D,interface,4,4,1,3,6,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/Segment3D.java,org.apache.commons.geometry.euclidean.threed.line.Segment3D,class,9,14,3,19,43,0.26373628,0.30769232,14,0,11,0,0,3,14,0,0,0,2,0,0,2,0,0,2,0,1,54,12,0,0,0,2,2,1,7,4,7,0,0,0,0,82,17,0
